Chinese,Pronunciation,Pronunciation2,English
我是日本人,Wǒ shì rìběn rén,Wǒ shì rì běn rén,I am Japanese
你不是学生,Nǐ bùshì xuéshēng,Nǐ bù shì xué shēng,You are not (a) student
你们是中国人吗?,Nǐmen shì zhōngguó rén ma?,Nǐ men shì zhōng guó rén ma?,You are chinese ?
他吃晚饭,Tā chī wǎnfàn,Tā chī wǎn fàn,He eat dinner
他不喝咖啡,Tā bù hē kāfēi,Tā bù hē kā fēi,He does not drink coffee.
他喝咖啡吗?,Tā hē kāfēi ma?,Tā hē kā fēi ma?,Does he drink coffee?
你没有电脑,Nǐ méiyǒu diànnǎo,Nǐ méi yǒu diàn nǎo,you do not have a computer.
我们很高兴,Wǒmen hěn gāoxìng,Wǒ men hěn gāo xìng,we (are) very happy
你们不忙,Nǐmen bù máng,Nǐ men bù máng,They (are) not busy
你们忙吗?,Nǐmen máng ma?,Nǐ men máng ma?,(Are) they busy?
这是我的手机,Zhè shì wǒ de shǒujī,Zhè shì wǒ de shǒu jī,This is my smartphone
漂亮的人,Piàoliang de rén,Piào liang de rén,beautiful person
那是我买的东西,Nà shì wǒ mǎi de dōngxī,Nà shì wǒ mǎi de dōng xī,This is (a) thing which I bought
这是手机,Zhè shì shǒujī,Zhè shì shǒu jī,This is a samrtphone
这是什么?,Zhè shì shénme?,Zhè shì shén me?,This is what? (What's this?)
你们看什么录像?,Nǐmen kàn shén mǎ lùxiàng,Nǐ men kàn shén mǎ lù xiàng,You watch what video?
他是谁?,Tā shì shéi?,Tā shì shéi?,He is who?
这是谁的手机,Zhè shì shéi de shǒujī,Zhè shì shéi de shǒu jī,This is whose smartphone
谁去中国,Shéi qù zhōngguó,Shéi qù zhōng guó,who go (to) china?
你买哪本书?,Nǐ mǎi nǎ běn shū?,Nǐ mǎi nǎ běn shū?,Which book do you buy?
他吃哪个水果?,Tā chī nǎge shuǐ guǒ,Tā chī nǎ ge shuǐ guǒ,he eats what fruit?
他吃了哪个水果?,Tā chīle nǎge shuǐguǒ,Tā chī le nǎge shuǐ guǒ, he eats what fruit?
你去哪儿?,Nǐ qù nǎ'er?,Nǐ qù nǎ er?,you go where?
